EQY_FUND_CRNCY,REL_INDEX,FA_ADJUSTED,,,,,
Ticker,Short Name,Market Cap,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M
DALBHARA IN Equity,DALMIA BHARAT LT,373067105229.00,373067105229.00,1989.00,54.61,13.03,139800000000.00
FLUOROCH IN Equity,GUJARAT FLUOROCH,371809295000.00,371809295000.00,3384.70,68.10,-18.68,47374900000.00
IPCA IN Equity,IPCA LABS LTD,370114164983.80,370114164983.80,1459.10,50.18,-13.81,88546000000.00
UCO IN Equity,UCO BANK,369415407521.34,369415407521.34,29.46,14.27,-31.96,303972800000.00
ANTHEM IN Equity,ANTHEM BIOSCIENC,367545697876.95,367545697876.95,654.45,,,18445530000.00
CHOLAHLD IN Equity,CHOLAMANDALAM FI,360082061131.20,360082061131.20,1917.60,16.57,37.18,331253300000.00
HCP IN Equity,HINDUSTAN COPPER,359587881837.00,359587881837.00,371.85,77.31,50.75,20589500000.00
TATAINVE IN Equity,TATA INV CORP,358467672160.00,358467672160.00,708.50,114.87,3.82,3057360000.00
APR IN Equity,APAR INDUSTRIES,357457835185.00,357457835185.00,8899.00,43.52,-13.29,185812100000.00
BLSTR IN Equity,BLUE STAR LTD,356618288307.20,356618288307.20,1734.40,60.32,-18.53,119676500000.00
GBEES IN Equity,NIPPON INDIA ETF,351629192040.00,351629192040.00,106.89,,66.78,
AIAE IN Equity,AIA ENGINEERING,351425849346.00,351425849346.00,3765.80,33.28,11.25,42874439000.00
KPITTECH IN Equity,KPIT TECHNOLOGIE,347340204736.00,347340204736.00,1267.00,40.96,-12.91,58423450000.00
GDSP IN Equity,GODREJ INDUSTRIE,341518380918.00,341518380918.00,1014.00,34.80,-13.05,178610500000.00
TMX IN Equity,THERMAX LTD,339083082910.00,339083082910.00,2845.70,50.52,-29.27,102644100000.00
ACC IN Equity,ACC LTD,337679056326.60,337679056326.60,1798.20,14.06,-12.03,207891000000.00
PIRAMALF IN Equity,PIRAMAL FINANCE,336525713420.00,336525713420.00,1484.60,,,106455800000.00
KPR IN Equity,KPR MILL LTD,335524622400.00,335524622400.00,981.60,41.16,-0.79,63878800000.00
CBOI IN Equity,CENTRAL BK INDIA,333906192997.86,333906192997.86,36.89,7.15,-29.74,409441200000.00
NLC IN Equity,NLC INDIA LTD,331960804194.60,331960804194.60,239.40,12.23,-2.55,152829600000.00
APTY IN Equity,APOLLO TYRES LTD,331173388291.70,331173388291.70,521.45,29.53,-0.43,257809730000.00
AJP IN Equity,AJANTA PHARMA,329905008734.40,329905008734.40,2640.60,35.90,-8.95,45875100000.00
ASTERDM IN Equity,ASTER DM HEALTHC,329058665517.90,329058665517.90,635.10,95.09,24.85,43252300000.00
AWL IN Equity,AWL AGRI BUSINES,328558751344.00,328558751344.00,252.80,26.78,-17.94,635672500000.00
CRISIL IN Equity,CRISIL LTD,325377384638.10,325377384638.10,4449.30,47.55,-32.27,32597800000.00
TELX IN Equity,TATA ELXSI LTD,325017682365.00,325017682365.00,5217.50,41.40,-22.36,37290483000.00
CDSL IN Equity,CENTRAL DEPOSITO,324075400000.00,324075400000.00,1550.60,61.53,-11.13,11989823000.00
EXID IN Equity,EXIDE INDUS LTD,323127500000.00,323127500000.00,380.15,40.66,-8.26,172378500000.00
GODIGIT IN Equity,GO DIGIT GENERAL,321131525690.50,321131525690.50,347.65,74.76,9.31,96955500000.00
MEDANTA IN Equity,GLOBAL HEALTH LT,312737609457.00,312737609457.00,1163.50,55.67,7.92,40047420000.00
HWA IN Equity,HONEYWELL AUTOMA,308524945085.00,308524945085.00,34895.00,58.92,-16.60,41817000000.00
SONACOMS IN Equity,SONA BLW PRECISI,306415182528.75,306415182528.75,492.85,49.68,-16.60,34127420000.00
NBCC IN Equity,NBCC INDIA LTD,302562000000.00,302562000000.00,112.06,56.03,22.02,116316751000.00
DELHIVER IN Equity,DELHIVERY LTD,302550492470.80,302550492470.80,404.60,218.70,16.89,94231860000.00
MSUMI IN Equity,MOTHERSON SUMI W,302403782548.80,302403782548.80,45.60,53.23,19.28,100656900000.00
MINDSPCE IN Equity,MINDSPACE BUSINE,300814878469.20,300814878469.20,493.80,60.07,44.63,28510360000.00
LICHF IN Equity,LIC HOUSING FIN,298024133400.00,298024133400.00,541.80,5.48,-7.80,281100800000.00
METROBRA IN Equity,METRO BRANDS LTD,296501108470.00,296501108470.00,1088.50,84.45,-8.97,25073900000.00
TVSHLTD IN Equity,TVS HOLDINGS LTD,296218234664.00,296218234664.00,14641.00,26.12,39.72,373011900000.00
NFIL IN Equity,NAVIN FLUORINE I,295752223728.00,295752223728.00,5772.00,99.18,78.28,23493800000.00
KAYNES IN Equity,KAYNES TECHNOLOG,291835366189.00,291835366189.00,4353.50,95.01,-41.31,27217520000.00
SJVN IN Equity,SJVN LTD,291079928612.25,291079928612.25,74.07,35.61,-27.94,30720100000.00
ITI IN Equity,ITI LTD,289803500500.80,289803500500.80,301.60,,-22.10,36164211000.00
GLAND IN Equity,GLAND PHARMA LTD,288587350526.80,288587350526.80,1751.60,41.31,-0.66,55836260000.00
AEGISVOP IN Equity,AEGIS VOPAK TERM,287634590544.40,287634590544.40,259.60,193.73,,6210820000.00
JBCP IN Equity,JB CHEMS & PHARM,285946091582.40,285946091582.40,1825.40,43.00,-0.12,38671247000.00
PINELABS IN Equity,PINE LABS LTD,284347679236.51,284347679236.51,247.63,,,24029470000.00
GRSE IN Equity,GARDEN REACH SHI,283046536800.00,283046536800.00,2470.90,53.67,54.39,50756877000.00
PTCIL IN Equity,PTC INDUSTRIES L,282984362375.00,282984362375.00,18875.00,456.25,40.24,3080740000.00
IKS IN Equity,INVENTURUS KNOWL,282237846555.00,282237846555.00,1645.00,56.34,-14.30,26639940000.00
KIMS IN Equity,KRISHNA INSTITUT,281697810240.00,281697810240.00,704.00,73.26,17.73,30351000000.00
ZCVCS IN Equity,ZF COMMERCIAL VE,280587470112.00,280587470112.00,14793.00,60.90,23.00,38309625000.00
GUJGA IN Equity,GUJARAT GAS LTD,279865005318.75,279865005318.75,406.55,24.37,-17.41,170795200000.00
GILL IN Equity,GILLETTE INDIA,271923635865.00,271923635865.00,8345.00,65.11,-11.54,22348400000.00
TATATECH IN Equity,TATA TECHNOLOGIE,270386655768.00,270386655768.00,666.45,39.93,-24.06,51643800000.00
MRPL IN Equity,MANGALORE REFINE,269444535975.98,269444535975.98,153.74,480.44,3.59,946816230000.00
STARHEAL IN Equity,STAR HEALTH & AL,269370528118.25,269370528118.25,457.85,50.48,-3.60,163668600000.00
IGL IN Equity,INDRAPRASTHA GAS,268520306880.00,268520306880.00,191.80,15.63,-7.07,149278000000.00
EMCURE IN Equity,EMCURE PHARMACEU,264670439381.40,264670439381.40,1396.20,38.33,-3.32,78959970000.00
NIACL IN Equity,NEW INDIA ASSURA,262608800000.00,262608800000.00,159.35,25.26,-20.61,412382400000.00
AISG IN Equity,ASAHI INDIA GLAS,261835718903.20,261835718903.20,1027.10,67.26,34.99,45397600000.00
NUVAMA IN Equity,NUVAMA WEALTH MA,260460364702.50,260460364702.50,7172.50,26.11,5.57,41582690000.00
AEGISLOG IN Equity,AEGIS LOGISTICS,260073450000.00,260073450000.00,740.95,34.58,-8.68,74254500000.00
IRB IN Equity,IRB INFRASTRUCTU,258469200000.00,258469200000.00,42.80,3.99,-24.85,70619990000.00
SYNG IN Equity,SYNGENE INTERNAT,257800640916.00,257800640916.00,639.80,51.81,-25.33,36424000000.00
ATHERENE IN Equity,ATHER ENERGY LTD,257526215036.80,257526215036.80,675.20,,,22506000000.00
DLPL IN Equity,DR LAL PATHLABS,253806285096.00,253806285096.00,3029.60,47.44,1.82,25997000000.00
NXST IN Equity,NEXUS SELECT TRU,246732900000.00,246732900000.00,162.86,,26.93,24176140000.00
NBEES IN Equity,NIPPON INDIA ETF,244819925064.00,244819925064.00,296.01,,11.93,
IIFL IN Equity,IIFL FINANCE LTD,242031886897.85,242031886897.85,569.35,62.77,37.69,102370700000.00
FSOL IN Equity,FIRSTSOURCE SOLU,241855816622.00,241855816622.00,347.00,35.85,-6.71,88057730000.00
ANANDRAT IN Equity,ANAND RATHI WEAL,240585495268.60,240585495268.60,2897.90,80.24,47.84,9390946000.00
ANGELONE IN Equity,ANGEL ONE LTD,239886830533.30,239886830533.30,2641.70,20.31,-8.28,52359140000.00
KVB IN Equity,KARUR VYSYA BANK,239803448694.25,239803448694.25,248.15,11.37,38.51,123147900000.00
PIRPHARM IN Equity,PIRAMAL PHARMA L,239065276180.50,239065276180.50,179.85,260.65,-32.41,90610000000.00
TRCL IN Equity,RAMCO CEMENT/THE,238891596180.00,238891596180.00,1011.00,87.68,4.88,85184000000.00
MGFL IN Equity,MANAPPURAM FINAN,236747793701.30,236747793701.30,279.70,19.47,50.04,100066930000.00
HSCH IN Equity,HIMADRI SPECIALI,235595523662.50,235595523662.50,476.75,42.34,-18.36,45992155000.00
PNBHOUSI IN Equity,PNB HOUSING FINA,235460664667.55,235460664667.55,903.85,12.13,3.62,76653500000.00
EIH IN Equity,EIH LTD,234323958995.40,234323958995.40,374.70,31.70,-10.40,27431460000.00
TMKN IN Equity,TIMKEN INDIA LTD,232704197375.80,232704197375.80,3093.70,52.01,0.15,31478100000.00
SUMICHEM IN Equity,SUMITOMO CHEMICA,232227553674.00,232227553674.00,465.25,45.93,-12.48,31485240000.00
AMBER IN Equity,AMBER ENTERPRISE,230816525625.00,230816525625.00,6562.50,91.18,-11.17,96737519000.00
SAGILITY IN Equity,SAGILITY LTD,230789490760.90,230789490760.90,49.30,42.14,-2.18,55699180000.00
ASTR IN Equity,ASTRAZENECA PHAR,230662500000.00,230662500000.00,9226.50,199.28,26.74,17162900000.00
CESC IN Equity,CESC LTD,230649254820.00,230649254820.00,174.00,16.86,-0.41,170012900000.00
HTSMF IN Equity,HATSUN AGRO PROD,230544457380.00,230544457380.00,1035.00,82.73,3.67,86835900000.00
ECLX IN Equity,ECLERX SERVICES,230256064759.80,230256064759.80,4832.20,42.32,38.76,33658650000.00
AFFLE IN Equity,AFFLE 3I LTD,229697758284.80,229697758284.80,1632.80,60.05,-8.44,22663080000.00
HMN IN Equity,EMAMI LTD,229293450000.00,229293450000.00,525.30,28.43,-10.99,38091886000.00
PFIZ IN Equity,PFIZER LTD,228738660000.00,228738660000.00,5000.00,29.80,-2.57,22813500000.00
FML IN Equity,FORCE MOTORS LTD,226196889754.00,226196889754.00,17167.00,28.25,164.17,80712300000.00
BANDHAN IN Equity,BANDHAN BANK LTD,225664874412.40,225664874412.40,140.08,18.38,-11.12,248098252000.00
SWH IN Equity,JSW HOLDINGS LTD,225100395000.00,225100395000.00,20280.00,114.93,32.15,2480899000.00
INXW IN Equity,INOX WIND LTD,225085693937.28,225085693937.28,130.24,48.15,-27.01,35571475000.00
SHYAMMET IN Equity,SHYAM METALICS &,224114964773.70,224114964773.70,802.90,24.58,10.86,150414400000.00
HBLENGIN IN Equity,HBL ENGINEERING,223862638389.60,223862638389.60,807.60,80.84,30.02,19672015000.00
ICICIB22 IN Equity,BHARAT 22 ETF,222812652260.00,222812652260.00,116.38,,8.24,
WPL IN Equity,WOCKHARDT LTD,220980373840.00,220980373840.00,1360.00,,-4.01,29150000000.00
WLCO IN Equity,WELSPUN CORP LTD,217897459407.00,217897459407.00,826.60,11.35,2.12,139775400000.00
NLL IN Equity,NEULAND LABORATO,216658335543.00,216658335543.00,16887.00,83.75,23.15,14343821000.00
SUNTV IN Equity,SUN TV NETWORK,216194822532.00,216194822532.00,548.60,12.69,-17.77,40150900000.00
JYOTICNC IN Equity,JYOTI CNC AUTOMA,216165652748.00,216165652748.00,950.50,68.38,-29.62,18145600000.00
BRGD IN Equity,BRIGADE ENTERPRI,215928649799.95,215928649799.95,883.15,30.73,-28.77,50742100000.00
BIRET IN Equity,BROOKFIELD INDIA,214237119121.62,214237119121.62,334.74,56.18,30.09,25370950000.00
DN IN Equity,DEEPAK NITRITE,214000681329.00,214000681329.00,1569.00,30.69,-36.84,82819300000.00
NSDL IN Equity,NATIONAL SECURIT,213270000000.00,213270000000.00,1066.35,,,14201460000.00
ERIS IN Equity,ERIS LIFESCIENCE,211367749764.70,211367749764.70,1551.70,60.03,13.61,28792600000.00
REDI IN Equity,REDINGTON LTD,210101878331.25,210101878331.25,268.75,13.09,37.26,992907500000.00
ABSLAMC IN Equity,ADITYA BIRLA SUN,209747106662.50,209747106662.50,726.50,22.52,-10.80,19858200000.00
AADHARHF IN Equity,AADHAR HOUSING F,208707230003.40,208707230003.40,481.40,22.46,13.91,31076300000.00
NSLVRTF IN Equity,NIPPON-SILVER-TF,208398343680.00,208398343680.00,170.18,,103.25,
COHANCE IN Equity,COHANCE LIFESCIE,207561801807.00,207561801807.00,542.55,42.42,-52.36,11722800000.00
CREDAG IN Equity,CREDITACCESS GRA,206488292422.40,206488292422.40,1290.70,38.74,45.59,57561400000.00
KIOCL IN Equity,KIOCL LTD,206422659756.40,206422659756.40,339.65,,-15.15,5905247000.00
BYRCS IN Equity,BAYER CROPSCIENC,202019197749.20,202019197749.20,4495.10,35.53,-16.88,54734000000.00
CUBK IN Equity,CITY UNION BANK,201454127697.70,201454127697.70,271.85,17.92,59.22,67321050000.00
PJSB IN Equity,PUNJAB & SIND BA,200805061726.00,200805061726.00,28.30,16.85,-41.09,138577400000.00
KPIL IN Equity,KALPATARU PROJEC,199018325108.40,199018325108.40,1165.40,33.98,-9.48,223157800000.00
SF IN Equity,SUNDRAM FASTEN,198035482306.50,198035482306.50,942.45,36.73,-10.29,59554200000.00
TENNIND IN Equity,TENNECO CLEAN AI,197826652056.35,197826652056.35,490.15,,,49954305000.00
TTCH IN Equity,TATA CHEMICALS,197194096985.90,197194096985.90,774.05,97.61,-25.57,148870000000.00
CHALET IN Equity,CHALET HOTELS LT,196477911106.75,196477911106.75,898.45,137.59,-7.67,15505840000.00
NHIT IN Equity,NATIONAL HIGHWAY,195517889400.00,195517889400.00,149.00,38.21,20.20,9746317000.00
ABREL IN Equity,ADITYA BIRLA REA,195500948704.00,195500948704.00,1750.30,,-30.17,12033700000.00
ONESOURC IN Equity,ONESOURCE SPECIA,193128848868.80,193128848868.80,1685.80,,,14448530000.00
PLM IN Equity,POLY MEDICURE,192491807459.00,192491807459.00,1899.10,53.16,-27.26,17121324000.00
CAMS IN Equity,COMPUTER AGE MAN,192102597569.50,192102597569.50,775.70,40.65,-22.36,14224833000.00
DCMS IN Equity,DCM SHRIRAM LTD,190389949186.40,190389949186.40,1220.90,26.72,6.88,129714000000.00
ARCP IN Equity,ANANT RAJ LTD,189403228259.00,189403228259.00,526.30,42.34,-38.40,20599742000.00
CSTRL IN Equity,CASTROL INDIA,189149873492.32,189149873492.32,191.23,20.41,2.69,53566600000.00
RBK IN Equity,RBL BANK LTD,188608699012.80,188608699012.80,305.80,34.44,94.25,180425400000.00
KECI IN Equity,KEC INTL LTD,187378180000.00,187378180000.00,703.90,32.29,-40.91,215365900000.00
URBANCO IN Equity,URBAN CO LTD,186695969068.62,186695969068.62,130.02,,,11444650000.00
KNPL IN Equity,KANSAI NEROLAC P,184429910010.62,184429910010.62,228.11,16.13,-12.57,77870400000.00
SAILIFE IN Equity,SAI LIFE SCIENCE,184089130135.90,184089130135.90,875.90,107.73,16.60,16703920000.00
KFINTECH IN Equity,KFIN TECHNOLOGIE,183754910584.80,183754910584.80,1066.40,55.00,-30.17,10907520000.00
EID IN Equity,EID PARRY INDIA,183706942117.60,183706942117.60,1032.80,20.88,15.57,315209500000.00
CUBEINVI IN Equity,CUBE HIGHWAYS TR,183501295763.10,183501295763.10,137.55,,26.55,29161370000.00
CGCL IN Equity,CAPRI GLOBAL CAP,181837477278.38,181837477278.38,188.99,32.58,1.37,32475000000.00
SCHN IN Equity,SCHNEIDER ELECTR,180152935170.75,180152935170.75,753.45,67.27,-1.72,26237000000.00
BIKAJI IN Equity,BIKAJI FOODS INT,179624854528.00,179624854528.00,716.80,89.38,-7.92,25534348000.00
CPBI IN Equity,CENTURY PLYBOARD,178071651485.00,178071651485.00,801.50,96.10,8.69,45278021000.00
CPPLUS IN Equity,ADITYA INFOTECH,177716314226.10,177716314226.10,1511.90,,,31118720000.00
ALPM IN Equity,ALEMBIC PHARMACE,176867498975.20,176867498975.20,899.80,30.32,-14.69,66720800000.00
TBOTEK IN Equity,TBO TEK LTD,176487730211.10,176487730211.10,1625.30,74.80,-6.28,17374730000.00
ABDL IN Equity,ALLIED BLENDERS,175783844395.95,175783844395.95,628.45,87.41,47.54,80731546000.00
BASF IN Equity,BASF INDIA LTD,175120713748.00,175120713748.00,4045.70,36.55,-26.98,152600000000.00
NETWEB IN Equity,NETWEB TECHNOLOG,174584559628.80,174584559628.80,3081.60,152.18,13.18,11430810000.00
GWN IN Equity,GRINDWELL NORTON,173553600000.00,173553600000.00,1567.50,47.07,-17.56,27989493000.00
TRIV IN Equity,TRIVENI TURBINE,173371899258.00,173371899258.00,545.40,48.54,-25.89,19935500000.00
ARENM IN Equity,AMARA RAJA ENERG,173068784198.40,173068784198.40,945.60,18.32,-20.32,128463200000.00
CHMB IN Equity,CHAMBAL FERTILIS,173020925766.45,173020925766.45,431.85,10.49,-10.85,166462000000.00
ATLP IN Equity,ATUL LTD,172690613952.50,172690613952.50,5865.50,35.68,-15.44,55833500000.00
TRAVELFO IN Equity,TRAVEL FOOD SERV,171973406104.00,171973406104.00,1306.00,,,
JUBLPHAR IN Equity,JUBILANT PHARMOV,171545786703.00,171545786703.00,1077.00,20.32,-2.14,72345000000.00
FIVESTAR IN Equity,FIVE-STAR BUSINE,170986577779.50,170986577779.50,580.65,15.86,-24.70,28478396000.00
VENTIVE IN Equity,VENTIVE HOSPITAL,169948228141.60,169948228141.60,727.70,106.54,1.09,16047050000.00
ZENT IN Equity,ZENSAR TECH LTD,169631715312.90,169631715312.90,746.15,26.04,0.86,52806000000.00
CRAFTSMA IN Equity,CRAFTSMAN AUTOMA,169434278257.50,169434278257.50,7102.50,84.88,32.00,53729800000.00
RMT IN Equity,RATNAMANI METALS,168753499200.00,168753499200.00,2407.60,31.03,-23.80,51864739000.00
DEVYANI IN Equity,DEVYANI INTERNAT,168595285794.25,168595285794.25,136.75,1709.38,-25.05,49510520000.00
KJC IN Equity,KAJARIA CERAMICS,167984484263.00,167984484263.00,1054.70,49.03,-8.09,46350700000.00
SEML IN Equity,SARDA ENERGY MIN,167680627329.50,167680627329.50,475.85,23.96,-1.16,46428500000.00
CROMPTON IN Equity,CROM GREAVES CON,167482258987.50,167482258987.50,260.10,30.10,-33.70,78635500000.00
NTCPH IN Equity,NATCO PHARMA LTD,167216974632.00,167216974632.00,933.60,8.87,-32.32,44295000000.00
MHSC IN Equity,MAHARASHTRA SC,166331378672.00,166331378672.00,14554.00,77.60,53.28,29900000.00
CU IN Equity,CARBORUNDUM UNIV,165655093411.80,165655093411.80,869.85,55.83,-31.73,48335180000.00
GUJS IN Equity,GUJARAT STATE PE,165483196580.80,165483196580.80,293.30,14.90,-17.60,172756257000.00
VERTIS IN Equity,VERTIS INFRASTRU,164588255782.00,164588255782.00,109.00,6.04,,21271500000.00
VO IN Equity,VINATI ORGANICS,164444792041.60,164444792041.60,1586.30,40.58,-11.67,22359200000.00
SOBHA IN Equity,SOBHA LTD,164441269066.80,164441269066.80,1537.80,165.71,-2.27,40167590000.00
KOEL IN Equity,KIRLOSKAR OIL EN,164340762951.20,164340762951.20,1130.80,33.54,11.05,62947900000.00
GMDC IN Equity,GUJARAT MINERAL,163579200000.00,163579200000.00,514.40,23.85,62.78,28508400000.00
DFPC IN Equity,DEEPAK FERTIL,163175012595.00,163175012595.00,1292.60,17.48,8.78,102744200000.00
LMW IN Equity,LMW LTD,160715052000.00,160715052000.00,15044.00,156.63,-14.73,29088500000.00
AKZO IN Equity,AKZO NOBEL INDIA,160001339207.60,160001339207.60,3513.40,37.25,3.14,40912000000.00
AGARWALE IN Equity,DR AGARWAL'S HEA,159982465280.00,159982465280.00,506.00,180.71,,17110000000.00
ELEQ IN Equity,ELGI EQUIPMENTS,158708035212.80,158708035212.80,500.80,45.16,-13.28,35104000000.00
CEAT IN Equity,CEAT LTD,158034464434.80,158034464434.80,3906.90,33.44,22.02,130934400000.00
SIGNATUR IN Equity,SIGNATUREGLOBAL,157905914545.80,157905914545.80,1123.80,156.30,-17.66,24980200000.00
PGEL IN Equity,PG ELECTROPLAST,157841647116.20,157841647116.20,553.90,51.57,-43.49,47964041000.00
DOMS IN Equity,DOMS INDUSTRIES,157818652505.50,157818652505.50,2600.50,78.00,-0.68,19126281000.00
CFIS IN Equity,CHOICE INTL LTD,157532113000.00,157532113000.00,766.00,93.87,37.86,9103821000.00
CIEINDIA IN Equity,CIE AUTOMOTIVE I,157378482098.45,157378482098.45,414.85,19.19,-10.39,89640670000.00
ABLBL IN Equity,ADITYA BIRLA LIF,156895790356.95,156895790356.95,128.55,,,77781300000.00
OLAELEC IN Equity,OLA ELECTRIC MOB,156584460917.50,156584460917.50,35.50,,-58.59,44960000000.00
GODPI IN Equity,GODAWARI POWER,155980520620.32,155980520620.32,232.94,17.59,15.84,53757286000.00
RPWR IN Equity,RELIANCE POWER,155835849998.88,155835849998.88,37.68,5.14,-11.55,71532100000.00
GESCO IN Equity,GREAT EASTERN SH,155758972651.00,155758972651.00,1091.00,6.64,16.67,52860100000.00
DATAPATT IN Equity,DATA PATTERNS IN,154868453444.70,154868453444.70,2766.30,66.36,12.31,9200400000.00
RRKABEL IN Equity,RR KABEL LTD,154728644808.20,154728644808.20,1368.20,49.61,-4.44,76182329000.00
RRP IN Equity,RRP SEMICONDUCTO,154226404800.00,154226404800.00,11320.20,1495.40,6123.31,315914000.00
JSWCEMEN IN Equity,JSW CEMENT LTD,151824319272.96,151824319272.96,111.36,,,56950310000.00
FIRSTCRY IN Equity,BRAINBEES SOLUTI,150829786330.75,150829786330.75,288.95,,-55.69,74680710000.00
VGRD IN Equity,V-GUARD IND LTD,149469856089.45,149469856089.45,342.55,47.78,-18.60,55778200000.00
CLPL IN Equity,CAPLIN POINT LAB,149241363926.40,149241363926.40,1963.40,27.82,-21.27,19374700000.00
NAVA IN Equity,NAVA LTD,148971871686.40,148971871686.40,526.40,13.97,8.15,39835474000.00
CONCORDB IN Equity,CONCORD BIOTECH,147341461713.60,147341461713.60,1408.40,39.65,-35.89,11798178000.00
EMMVEE IN Equity,EMMVEE PHOTOVOLT,147234094717.78,147234094717.78,212.66,,,33266252000.00
INDA IN Equity,INTELLECT DESIGN,147029982199.40,147029982199.40,1056.10,43.48,11.14,25000040000.00
AFCONS IN Equity,AFCONS INFRASTUC,146709289305.90,146709289305.90,398.90,30.14,-26.41,125037600000.00
BETF430 IN Equity,BHRT BOND ETF 30,145412937594.40,145412937594.40,1562.96,,8.58,
MANYAVAR IN Equity,VEDANT FASHIONS,145113106841.25,145113106841.25,597.25,35.01,-53.20,13654060000.00
PRIF IN Equity,PRIME FOCUS LTD,144683437488.15,144683437488.15,186.45,,35.78,35379100000.00
UTIAM IN Equity,UTI ASSET MANAGE,143997433909.20,143997433909.20,1122.20,19.58,-13.58,18510900000.00
ANURAS IN Equity,ANUPAM RASAYAN I,143608258234.00,143608258234.00,1261.40,148.40,74.79,14023260000.00
SYRMA IN Equity,SYRMA SGS TECHNO,143321257976.25,143321257976.25,743.25,77.83,26.17,37159890000.00
BELRISE IN Equity,BELRISE INDUSTRI,143243853536.24,143243853536.24,160.97,29.48,,81315720000.00
IRCON IN Equity,IRCON INTERNATIO,142563375869.20,142563375869.20,151.58,19.61,-28.33,107595800000.00
GALL IN Equity,GALLANTT ISPAT,142476398022.50,142476398022.50,590.50,35.55,71.30,40971634000.00
BEML IN Equity,BEML LTD,142449176700.00,142449176700.00,1710.30,48.70,-15.38,40222227000.00
CARTRADE IN Equity,CARTRADE TECH LT,141870997184.00,141870997184.00,2968.40,105.21,99.80,6411164000.00
TRID IN Equity,TRIDENT LTD,141820446296.10,141820446296.10,27.83,38.12,-15.50,69870800000.00
APTUS IN Equity,APTUS VALUE HOUS,141035988481.20,141035988481.20,281.70,18.73,-1.26,17504087000.00
INDIGRID IN Equity,INDIGRID INFRAST,141023625710.24,141023625710.24,168.98,34.28,30.69,32876370000.00
CEMPRO IN Equity,CEMINDIA PROJECT,141011838326.40,141011838326.40,820.85,37.83,52.92,90969408000.00
MDA IN Equity,MINDA CORP LTD,140136406722.20,140136406722.20,586.15,54.02,20.07,50562000000.00
SWANCORP IN Equity,SWAN CORP LTD,140083882353.40,140083882353.40,446.90,18.55,-37.85,49378686000.00
ACUTAAS IN Equity,ACUTAAS CHEMICAL,139803127927.20,139803127927.20,1707.60,86.20,59.09,10068755000.00
JBMA IN Equity,JBM AUTO LTD,139543440473.20,139543440473.20,590.05,69.09,-22.64,54723321000.00
